"age","PrevCall","city","hour","gander","Period_type","topic"
45,18,"qara","2:07","male","Normal_days","joining"
31,11,"ariel","22:54","male","Holidays","Service"
44,28,"karmel","3:05","female","Holidays","joining"
21,7,"ntanya","17:39","female","Summer_vacation","joining"
28,27,"ariel","9:59","female","Holidays","joining"
36,3,"ariel","21:23","male","Summer_vacation","joining"
22,22,"hefa","9:08","male","Holidays","joining"
45,12,"ariel","6:43","female","Normal_days","complaint"
29,21,"qara","4:31","male","Holidays","joining"
25,5,"ntanya","14:23","male","Summer_vacation","Service"
31,29,"jatt","12:12","female","Normal_days","complaint"
46,21,"hefa","19:31","male","Holidays","Disconnection"
30,5,"ntanya","6:59","male","Normal_days","complaint"
22,25,"ashdod","13:56","female","Holidays","Disconnection"
31,4,"ariel","5:28","female","Summer_vacation","complaint"
24,24,"hefa","17:59","male","Normal_days","complaint"
45,15,"ashdod","6:53","female","Normal_days","joining"
29,3,"karmel","10:59","female","Summer_vacation","Service"
27,28,"ashklon","9:12","male","Holidays","joining"
47,9,"karmel","0:51","female","Summer_vacation","complaint"
44,2,"bat-yam","12:36","female","Normal_days","joining"
37,2,"bat-yam","3:29","female","Holidays","Disconnection"
36,9,"hefa","9:12","female","Holidays","joining"
30,5,"ariel","6:30","female","Holidays","Disconnection"
39,28,"telaviv","20:41","female","Summer_vacation","Service"
45,8,"telaviv","7:23","female","Summer_vacation","complaint"
35,17,"ashklon","7:28","male","Summer_vacation","Disconnection"
23,23,"telaviv","13:52","male","Summer_vacation","Service"
49,15,"ashdod","21:19","female","Holidays","complaint"
39,18,"ashdod","15:02","female","Summer_vacation","joining"
37,10,"qara","23:51","male","Holidays","complaint"
35,2,"karmel","8:38","female","Holidays","Service"
48,2,"ariel","8:42","female","Normal_days","complaint"
32,1,"bat-yam","15:25","male","Summer_vacation","complaint"
39,13,"ariel","21:50","female","Summer_vacation","Service"
25,1,"hefa","10:37","female","Summer_vacation","Disconnection"
36,13,"karmel","7:41","male","Holidays","Service"
22,1,"ashklon","7:50","female","Summer_vacation","joining"
28,26,"hedera","2:32","female","Summer_vacation","complaint"
35,26,"ashklon","11:57","female","Normal_days","Disconnection"
34,8,"ntanya","0:38","male","Holidays","Disconnection"
31,20,"bat-yam","0:50","male","Holidays","Disconnection"
41,26,"ashklon","16:10","male","Normal_days","Service"
33,5,"hedera","6:53","male","Holidays","Service"
27,13,"ashdod","21:29","female","Summer_vacation","joining"
25,10,"ariel","18:10","male","Holidays","Disconnection"
38,5,"jatt","15:22","male","Summer_vacation","joining"
24,11,"ashklon","8:48","male","Normal_days","joining"
48,13,"ashklon","3:35","female","Normal_days","joining"
44,28,"ariel","12:25","female","Normal_days","Service"
33,29,"bat-yam","15:50","male","Normal_days","Disconnection"
39,15,"jatt","13:23","female","Normal_days","complaint"
39,22,"ashklon","15:18","female","Holidays","complaint"
31,15,"bat-yam","19:11","male","Holidays","Disconnection"
46,21,"karmel","12:00","male","Holidays","Service"
30,15,"bat-yam","3:02","female","Normal_days","complaint"
42,16,"bat-yam","6:59","male","Normal_days","Disconnection"
31,8,"qara","1:41","male","Holidays","Disconnection"
46,22,"telaviv","5:39","male","Holidays","joining"
48,4,"ashklon","10:57","female","Summer_vacation","Service"
23,9,"jatt","5:31","female","Summer_vacation","complaint"
28,1,"karmel","8:41","female","Holidays","joining"
44,6,"ashklon","18:12","male","Summer_vacation","complaint"
48,21,"ntanya","9:11","female","Normal_days","Service"
36,22,"ashklon","22:40","male","Summer_vacation","complaint"
35,11,"hefa","0:06","female","Holidays","complaint"
28,12,"hedera","5:59","male","Normal_days","Service"
41,27,"karmel","14:27","male","Summer_vacation","joining"
47,30,"jatt","5:02","male","Normal_days","Disconnection"
30,21,"qara","18:52","female","Normal_days","joining"
45,23,"hedera","21:30","male","Normal_days","Disconnection"
27,12,"hefa","8:42","female","Summer_vacation","Service"
35,13,"ashdod","15:04","female","Holidays","Disconnection"
31,29,"ntanya","8:48","female","Normal_days","complaint"
26,11,"qara","5:10","male","Holidays","Service"
43,19,"ariel","17:52","male","Normal_days","joining"
37,30,"karmel","10:57","female","Holidays","joining"
41,14,"ntanya","8:15","male","Summer_vacation","joining"
44,3,"ashdod","6:57","female","Summer_vacation","joining"
23,10,"ntanya","1:51","male","Summer_vacation","Disconnection"
39,5,"qara","12:54","female","Summer_vacation","Disconnection"
40,23,"ariel","21:54","male","Holidays","Disconnection"
37,29,"hefa","1:53","male","Holidays","Disconnection"
49,11,"qara","18:48","male","Summer_vacation","Disconnection"
39,2,"ashklon","6:39","male","Summer_vacation","Disconnection"
48,3,"ntanya","16:40","male","Summer_vacation","complaint"
48,18,"hedera","0:37","female","Normal_days","Disconnection"
29,20,"hedera","22:34","male","Summer_vacation","Disconnection"
21,27,"ariel","3:35","male","Normal_days","joining"
27,1,"telaviv","9:37","female","Holidays","joining"
